Gene,Detection_Rate,Mean_Expression,Median_Expression
TCF25,1,6.93890516597232,6.9484840442677
TCF3,1,5.47116817707217,5.74119729857143
TCF4,1,4.18648041258138,4.08576455377831
TCF7,1,1.59261738157581,1.48026512205446
TCF7L1,1,2.9447083455975,3.16671544496642
TCF7L2,1,2.38569233012175,2.49313492230551
TCFL5,1,2.81716908772637,3.03033607837096
TCHH,0.949367088607595,0.142918146844994,0.0840642647884746
TCHP,1,3.33613410724384,3.49185309632968
TCIRG1,1,5.11186246179512,5.18586654531133
TCL1A,0.510548523206751,0.126923402232351,0.0426443374084937
TCL6,0.734177215189873,0.151796494086438,0.0426443374084937
TCN2,1,4.00892049872652,4.16751850373522
TCOF1,1,3.28574967529022,3.39780296186249
TCP1,1,5.82163266354923,6.16450472565806
TCP10L,0.953586497890295,1.29488401556676,1.32192809488736
TCP11,0.80168776371308,0.133635512059013,0.0840642647884746
TCP11L1,1,2.1979949121865,2.114367024952
TCP11L2,0.9957805907173,1.4972101864067,1.32768736417605
TCTA,1,4.45034045556477,4.68369645430652
TCTE1,0.957805907172996,0.590222303720169,0.37851162325373
TCTEX1D1,0.957805907172996,1.69087816828772,1.34482849699744
TCTEX1D2,1,4.48547923061602,4.90785207184596
TCTEX1D4,0.962025316455696,0.795361391872631,0.594548549550354
TCTN1,1,5.26293736415579,5.39985467357243
TCTN2,1,2.60212684903408,2.63691458035588
TCTN3,1,3.27165490703439,3.51601514700366
TDG,1,2.71215481660307,2.6667565918848
TDGF1,0.848101265822785,0.292400960669391,0.150559676575381
TDH,0.928270042194093,0.565068093820346,0.411426245726465
TDO2,0.962025316455696,1.20080903098125,0.879705766282288
TDP1,1,2.19626110685703,2.12763327972587
TDP2,1,3.86113431842289,4.20476675065461
TDRD1,0.654008438818566,0.0365407679649359,0.0143552929770701
TDRD10,0.983122362869198,0.823944584544134,0.604071323668861
TDRD12,0.978902953586498,0.199767889450593,0.16349873228288
TDRD3,1,2.66933754547727,2.67129337248158
TDRD5,0.843881856540084,0.142380728979763,0.0840642647884746
TDRD6,0.978902953586498,0.404672130913996,0.344828496997441
TDRD7,1,2.60296519709602,2.85199883711245
TDRD9,0.983122362869198,0.754780917644893,0.505890929729957
TDRG1,0.772151898734177,0.356194701241803,0.263034405833794
TDRKH,1,2.08900530940633,2.10433665981474
TDRP,1,2.79985125789929,3
TEAD1,1,2.46574749442415,2.33913738491959
TEAD2,1,2.92131968134556,3.0232553523003
