Gene,Detection_Rate,Mean_Expression,Median_Expression
SORCS1,0.992537313432836,0.89881974204674,0.731310484470258
TASOR2,1,2.52368613371514,2.47649885325554
XPNPEP1,1,3.15278972427826,3.09496044803573
SMC3,1,3.22026396662028,3.16622418598031
SHOC2,1,3.21525427506704,3.16098145298868
TFAM,1,2.58739208212017,2.56061684205304
CCDC6,1,2.89950021060933,2.8486079129235
CUL2,1,2.72891373307967,2.68131157672791
CCNY,1,3.56143684413905,3.5691254068676
UBE2S,1,4.23609050122917,4.2139132495035
ZMIZ1,1,3.70533319018121,3.72089064705302
DNAJC12,1,1.99146226810076,1.92517836470684
PPIF,1,4.50226654500787,4.51218866637958
PBLD,1,1.35713705199927,1.33528138581515
TSPAN14,1,2.45952554265289,2.46430068796741
LGI1,1,0.968036088400449,0.807107346083666
TBC1D12,1,2.15251803817865,2.09064948449053
KRT23,0.899253731343284,0.0905563167225126,0.0632958271627211
CRYBA1,0.940298507462687,0.652382509818457,0.307019573568914
NUFIP2,1,3.71404932427859,3.59590723607777
GIT1,1,4.02789464919258,4.01873149800107
FBXL20,1,2.10223402172092,2.01513751547426
RUNDC3A,1,2.5228964735058,2.48387995506631
UBTF,1,4.07674149205823,4.08887077759324
CSF3,0.966417910447761,0.578124829809648,0.23670461074752
PSMD3,1,4.95527506994848,4.95536606252943
CASC3,1,4.46388811377893,4.51735872577657
RAPGEFL1,1,1.75179864128316,1.71454891994381
RGS9,1,1.33790455267277,1.26375292577029
RNF43,0.962686567164179,0.116266243201144,0.0642617769434881
WNT3,1,1.55171308250556,1.49896084235401
ASPA,1,1.2370798994581,1.1506125418414
RAD51C,1,2.21172430082704,2.21184667301009
SEPTIN4,1,2.59395583614136,2.48548746933768
MTMR4,1,3.60474213392835,3.63075322208621
TRIM37,1,3.785014858664,3.80922813421122
P2RX1,0.992537313432836,0.319536765938717,0.236951675487247
DHX40,1,4.18705693538828,4.17216863054446
TUBD1,1,2.0367524979781,1.9987551375874
KPNB1,1,4.73657493544877,4.80321132640216
GOSR2,1,2.45394563050691,2.43516560953788
PNPO,1,2.46558217378589,2.44925737739107
TRIM16L,1,1.99546570935018,1.95178120035124
ZNF29P,0.641791044776119,0.567969995836937,0.203194297265678
CDK5RAP3,1,1.35136728489916,1.25640579085471
CBX1,1,5.03525277205769,5.0561319116076
RECQL5,1,2.25101026711852,2.23982565157553
PIGL,1,1.50622824808311,1.43517517439477
GALK1,1,3.77085800309455,3.73121581584631
INTS2,1,2.01592176719499,1.92526693750274
CAMTA2,1,2.51363594504831,2.51859752217087
MED13,1,3.45503722203087,3.17893746016794
HOXB6,0.854477611940298,0.174556078572845,0.0641930619274924
ENO3,1,1.2107790292906,1.11229969310248
PFN1,1,7.27826271048086,7.36035305340575
RNF167,1,5.26422682561496,5.32689652395873
SLC25A11,1,5.25217686452773,5.2504215343
RASD1,1,5.44684121660744,5.50830126269315
CHRNE,1,0.381641064488212,0.339365420410676
RAI1,1,2.13374402532422,2.18958566113543
NUP88,1,2.93109359646254,2.92852774278023
C1QBP,1,5.63518029801371,5.60800204295633
SLC6A4,1,0.133835995705772,0.0953843233901829
BLMH,1,3.28531660714935,3.26703369135858
CPD,1,3.55607971982351,3.47060186996966
GOSR1,1,2.73120050598195,2.75554991336932
CCDC47,1,4.90682200530787,4.93217151383087
MED31,1,1.87142047972046,1.81169139719118
DRG2,1,2.3561834885128,2.45447842174391
FTSJ3,1,3.60638538336213,3.60857235734177
AKAP10,1,3.31828962546647,3.27802184870852
ALDH3A1,1,0.47086221008021,0.275066010236681
SMARCD2,1,3.74080867528297,3.72501391192896
ICAM2,1,1.13719065705867,1.13267508185262
SYNGR2,1,4.08049219561125,4.11124375097519
B9D1,1,1.88484612322756,1.85841860451358
UTP6,1,3.10299650124734,3.10104488262204
DDX5,1,6.00487720957319,5.99703138640152
CYTH1,1,2.88371186562912,2.85414482441597
PSMD11,1,3.6629844229896,3.67205687215727
LGALS3BP,1,6.75028217448507,6.8192349690705
ASIC2,0.973880597014925,0.301731149438268,0.154968351484536
CCL7,0.746268656716418,0.442583673983038,0.135337675652687
CCL2,1,4.45472292281014,4.43442683129308
CCL8,0.970149253731343,1.22881252399159,1.05716190504536
PEX12,1,2.98760298232355,3.01626452331739
DHX58,1,2.76405287222159,2.71808757796267
KAT2A,1,4.16979072632558,4.10133044686913
RAB5C,1,4.38777703836902,4.48984781949392
NAGLU,1,3.94898837512166,3.94922963856755
HSD17B1P1,1,1.61517917721456,1.55841452305689
HSD17B1,1,0.572237709261229,0.517373826661433
MLX,1,3.51165537611631,3.46837476531117
CNTNAP1,1,3.42375419991037,3.43237722987489
ABI3,1,3.55894529080265,3.58492427730673
EZH1,1,3.12570812236941,3.14526151272563
DLX4,0.936567164179104,0.101783350239427,0.0694271056309321
PPP1R9B,1,4.0879376337228,4.15800165257903
COL1A1,1,4.32178769595296,4.10710148468108
SGCA,0.992537313432836,0.679846701709174,0.570122625367486
VAT1,1,5.66194057296645,5.76061623833709
LRRC59,1,4.65934274495274,4.63616073059384
RND2,1,5.16280093119707,5.18803884287985
ALOX12,1,0.977291274389629,0.884239360500227
HDAC5,1,3.37166312702003,3.36945924854349
ABCC3,1,2.93576473906074,2.95446326255259
LUC7L3,1,3.62078673283469,3.65587589118623
PPY,0.772388059701493,0.17183921481648,0.0737516804292396
MPP2,1,2.69302780747815,2.75813165084023
SMURF2,1,2.85921183779283,2.82338250606715
DUSP3,1,4.29565537932099,4.26149287010743
CACNG1,0.966417910447761,0.668418816300839,0.505433342116407
EFTUD2,1,4.00858629921478,3.97994741688464
HLF,1,1.54183505879298,1.40968933261157
SLC16A6,1,1.26833977148286,1.16482369233885
PRKAR1A,1,4.98466167284999,4.99199321914785
EFNB3,1,3.21069137469254,3.19890589352509
FAM20A,1,1.8717430208106,1.71718301513214
YWHAE,1,7.84543096404713,7.86277887626936
MMD,1,3.65747642604776,3.60713393923587
RANGRF,0.996268656716418,0.761707056306329,0.739673945918509
DPH1,1,2.18015803958514,2.16724342145022
MAP2K6,1,1.04949958337198,0.933420605581785
DHRS7B,1,2.77739526938988,2.75923037947988
WSB1,1,4.34900915313816,4.27971620594855
RCVRN,0.966417910447761,0.21819928338823,0.17005287059675
SLC9A3R1,1,4.19893300346405,4.24823496974916
MYH3,1,0.707945719827266,0.623228701277163
NAT9,1,3.33196297909407,3.33814612123029
TMEM104,1,3.13560092419954,3.16026668931167
VTN,1,0.655887578929489,0.584718644045146
TNFAIP1,1,4.62590406535721,4.67852806314103
IFT20,1,2.80004220932595,2.72825722481992
TMEM97,1,3.54860561739278,3.56182201252377
CDR2L,1,2.88410330645198,2.91196744681576
PMP22,1,4.07132214224756,4.2136019951034
UNC119,1,2.89230062897426,2.86290616766835
ALDOC,1,6.25753877721409,6.36244321127219
SUPT6H,1,3.91826351385703,3.99143048020255
RAB34,1,4.26493770889464,4.53879630676945
PHF12,1,2.55808101043701,2.57756065278362
TMEM33,1,3.4446078541543,3.38205142070674
GABRA4,0.985074626865672,0.405141732444855,0.2059553573274
GNRHR,0.985074626865672,0.362825345579881,0.156395478339402
SLAIN2,1,2.83360888981352,2.82866202477489
OCIAD1,1,4.86171440250341,4.93831202965944
CWH43,0.67910447761194,0.0870964860098069,0.0124256465453881
DCUN1D4,1,2.86741321299784,2.76838540064231
USP46,1,2.61290845259179,2.5428119136112
CHIC2,1,4.02509879518144,3.8009257308294
